3.14 0.001 3.14,3.14
1.57,1.57
1.04667,1.04667
0.785,0.785
0.628,0.628
0.523333,0.523333
0.448571,0.448571
0.3925,0.3925
0.348889,0.348889
0.314,0.314
3.14 0.001 3.14,3.14
1.57,1.57
1.04667,1.04667
0.785,0.785
0.628,0.628
0.523333,0.523333
0.448571,0.448571
0.3925,0.3925
0.348889,0.348889
0.314,0.314
3.14 0.001 3.14,3.14
1.57,1.57
1.04667,1.04667
0.785,0.785
0.628,0.628
0.523333,0.523333
0.448571,0.448571
0.3925,0.3925
0.348889,0.348889
0.314,0.314
3.14 0.001 3.14,3.14
1.57,1.57
1.04667,1.04667
0.785,0.785
0.628,0.628
0.523333,0.523333
0.448571,0.448571
0.3925,0.3925
0.348889,0.348889
0.314,0.314
